iter	Passed	Remaining
0	0	329
1	0	278
2	0	254
3	0	237
4	1	227
5	1	227
6	1	228
7	1	226
8	2	226
9	2	220
10	2	217
11	2	215
12	2	214
13	3	215
14	3	214
15	3	214
16	3	215
17	3	215
18	4	214
19	4	213
20	4	212
21	4	211
22	4	210
23	5	210
24	5	209
25	5	209
26	5	208
27	5	207
28	6	207
29	6	207
30	6	207
31	6	206
32	7	207
33	8	230
34	8	231
35	11	316
36	12	317
37	12	315
38	12	312
39	12	310
40	13	307
41	13	305
42	13	304
43	13	302
44	14	300
45	14	299
46	14	297
47	14	296
48	15	296
49	15	296
50	15	295
51	16	294
52	16	292
53	16	291
54	16	290
55	17	288
56	17	287
57	17	286
58	17	284
59	18	283
60	18	282
61	18	281
62	18	280
63	19	279
64	19	278
65	20	291
66	20	290
67	21	289
68	21	288
69	21	286
70	21	285
71	22	284
72	22	283
73	22	281
74	22	280
75	22	278
76	23	277
77	23	276
78	23	278
79	24	277
80	24	276
81	24	275
82	24	274
83	25	273
84	25	271
85	25	270
86	25	269
87	25	268
88	26	267
89	26	266
90	26	265
91	26	264
92	27	263
93	27	262
94	27	261
95	27	260
96	27	259
97	28	258
98	28	257
99	28	256
100	28	255
101	28	254
102	29	253
103	29	252
104	29	251
105	29	250
106	29	249
107	30	248
108	30	248
109	30	247
110	30	246
111	31	245
112	31	244
113	31	244
114	31	243
115	31	242
116	32	241
117	32	240
118	32	240
119	32	239
120	32	238
121	33	237
122	33	237
123	33	236
124	33	235
125	33	235
126	34	234
127	34	233
128	34	233
129	34	232
130	34	231
131	35	231
132	35	230
133	35	230
134	35	229
135	36	228
136	36	228
137	36	227
138	36	227
139	36	226
140	37	226
141	37	225
142	37	224
143	37	224
144	37	223
145	38	222
146	38	222
147	38	222
148	38	221
149	38	220
150	39	220
151	39	219
152	39	219
153	39	218
154	40	218
155	40	217
156	40	217
157	40	216
158	40	215
159	41	215
160	41	214
161	41	214
162	41	213
163	41	213
164	42	212
165	42	212
166	42	211
167	42	211
168	42	210
169	43	210
170	43	209
171	43	209
172	43	208
173	43	208
174	44	207
175	44	207
176	44	206
177	44	206
178	44	205
179	45	205
180	45	204
181	45	204
182	45	203
183	45	203
184	46	202
185	46	202
186	46	201
187	46	201
188	46	201
189	47	200
190	47	200
191	47	199
192	47	199
193	47	199
194	48	198
195	48	198
196	48	197
197	48	197
198	48	196
199	49	196
200	49	196
201	49	195
202	49	195
203	49	194
204	50	194
205	50	194
206	50	193
207	50	193
208	51	193
209	51	192
210	51	192
211	51	192
212	51	191
213	52	191
214	52	190
215	52	190
216	52	190
217	52	189
218	53	189
219	53	189
220	53	188
221	53	188
222	53	187
223	54	187
224	54	187
225	54	186
226	54	186
227	54	186
228	55	185
229	55	185
230	55	185
231	55	184
232	56	184
233	56	184
234	56	183
235	56	183
236	56	182
237	56	182
238	57	182
239	57	181
240	57	181
241	57	180
242	57	180
243	57	179
244	58	179
245	58	178
246	58	178
247	58	177
248	58	177
249	59	177
250	59	176
251	59	176
252	59	176
253	59	175
254	59	175
255	60	174
256	60	174
257	60	174
258	60	173
259	61	173
260	61	173
261	61	173
262	61	172
263	61	172
264	61	171
265	62	171
266	62	171
267	62	171
268	62	171
269	63	170
270	63	170
271	63	170
272	63	169
273	64	169
274	64	169
275	64	168
276	64	168
277	64	168
278	64	167
279	65	167
280	65	167
281	65	167
282	65	167
283	66	166
284	66	166
285	66	166
286	66	166
287	67	165
288	67	165
289	67	164
290	67	164
291	67	164
292	67	163
293	67	163
294	68	162
295	68	162
296	68	162
297	68	161
298	68	161
299	69	161
300	69	161
301	69	160
302	69	160
303	69	160
304	70	159
305	70	159
306	70	159
307	70	159
308	71	158
309	71	158
310	71	158
311	71	157
312	71	157
313	72	157
314	72	157
315	72	156
316	72	156
317	72	156
318	73	155
319	73	155
320	73	155
321	73	154
322	73	154
323	73	154
324	74	154
325	74	153
326	74	153
327	74	153
328	74	152
329	75	152
330	75	152
331	75	151
332	75	151
333	75	151
334	76	150
335	76	150
336	76	150
337	76	150
338	76	149
339	77	149
340	77	149
341	77	149
342	77	149
343	78	148
344	78	148
345	78	148
346	78	148
347	78	147
348	79	147
349	79	147
350	79	147
351	79	146
352	79	146
353	80	146
354	80	145
355	80	145
356	80	145
357	81	145
358	81	144
359	81	144
360	81	144
361	81	144
362	81	143
363	82	143
364	82	143
365	82	142
366	82	142
367	82	142
368	83	142
369	83	141
370	83	141
371	83	141
372	83	141
373	84	140
374	84	140
375	84	140
376	84	140
377	84	139
378	85	139
379	85	139
380	85	139
381	85	138
382	85	138
383	86	138
384	86	137
385	86	137
386	86	137
387	87	137
388	87	137
389	87	136
390	87	136
391	87	136
392	88	136
393	88	135
394	88	135
395	88	135
396	88	134
397	89	134
398	89	134
399	89	134
400	89	133
401	89	133
402	90	133
403	90	133
404	90	132
405	90	132
406	90	132
407	91	132
408	91	132
409	91	131
410	91	131
411	92	131
412	92	131
413	92	130
414	92	130
415	92	130
416	92	129
417	93	129
418	93	129
419	93	129
420	93	129
421	94	128
422	94	128
423	94	128
424	94	128
425	94	127
426	95	127
427	95	127
428	95	126
429	95	126
430	95	126
431	95	126
432	96	125
433	96	125
434	96	125
435	96	125
436	97	125
437	97	124
438	97	124
439	97	124
440	97	124
441	98	123
442	98	123
443	98	123
444	98	123
445	98	122
446	99	122
447	99	122
448	99	122
449	99	121
450	99	121
451	99	121
452	100	120
453	100	120
454	100	120
455	100	120
456	100	119
457	101	119
458	101	119
459	101	119
460	101	118
461	101	118
462	102	118
463	102	118
464	102	117
465	102	117
466	102	117
467	103	117
468	103	116
469	103	116
470	103	116
471	103	116
472	104	115
473	104	115
474	104	115
475	104	115
476	104	114
477	104	114
478	105	114
479	105	114
480	105	113
481	105	113
482	105	113
483	106	113
484	106	112
485	106	112
486	106	112
487	106	112
488	107	111
489	107	111
490	107	111
491	107	111
492	107	110
493	108	110
494	108	110
495	108	110
496	108	109
497	108	109
498	109	109
499	109	109
500	109	108
501	109	108
502	109	108
503	110	108
504	110	108
505	110	107
506	110	107
507	110	107
508	111	107
509	111	106
510	111	106
511	111	106
512	111	106
513	112	105
514	112	105
515	112	105
516	112	105
517	112	104
518	112	104
519	113	104
520	113	104
521	113	103
522	113	103
523	113	103
524	114	103
